score	acc	runs	subjects	per_subject	readlen	strategy	instrument	baseline	timepoints	title	reasons
22	PRJNA762882	92	46	1.0	151	RNA-Seq	Illumina NovaSeq 6000	True	t0	Integrated methylomic and transcriptomic characterisation of postoperative systemic inflammatory dysregulation (RNA EXPRESSION)	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
20	PRJEB11901	31	0	0	671	AMPLICON	454 GS FLX Titanium	False		Insulin resistance, microbiota and fat distribution changes by a new model of vertical sleeve gastrectomy in obese rats	not Illumina amplicon (AMPLICON; 454 GS FLX Titanium); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
20	PRJEB8249	21	1	21.0	101	WGS	Illumina HiSeq 2000	False	after	Bariatric surgery induces long-term changes on the gut metagenome contributing to fat mass regulation	not Illumina amplicon (WGS; Illumina HiSeq 2000); reads ~101bp, too short for truncLen 150; subject/timepoint not encoded in sample titles
20	PRJEB11527	21	6	3.0	101	RNA-Seq	Illumina HiSeq 2000	False	after	Transcriptome profiling using RNA-seq to unravel the aetiology of medulloblastoma	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2000); reads ~101bp, too short for truncLen 150; subject/timepoint not encoded in sample titles
20	PRJNA1113720	30	2	15.0	0	RNA-Seq	Illumina NovaSeq 6000	False	postoperative	Left Atrial Cardiomyocyte Transcriptomic Analysis of Postoperative Atrial Fibrillation.	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); subject/timepoint not encoded in sample titles
20	PRJNA1113721	30	2	15.0	0	RNA-Seq	Illumina NovaSeq 6000	False	postoperative	Left Atrial Cardiomyocyte Transcriptomic Analysis of Postoperative Atrial Fibrillation.	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); subject/timepoint not encoded in sample titles
18	PRJDB14234	28	28	1.0	101	RNA-Seq	Illumina HiSeq 2000/Illumina HiSeq 2500	False	1 day,after	Transfection of favorable genes into neuroblastoma cell lines	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2000/Illumina HiSeq 2500); reads ~101bp, too short for truncLen 150; no repeat sampling detectable from metadata; timepoints present but no clear baseline token
17	PRJNA731483	38	0	0	150	RNA-Seq	Illumina NovaSeq 6000	False		Bariatric surgery reduces obesity associated breast cancer and enhances response to immunotherapy [Tumor - breast cancer RNA-seq]	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
17	PRJNA731484	38	0	0	150	RNA-Seq	Illumina NovaSeq 6000	False		Bariatric surgery reduces obesity associated breast cancer and enhances response to immunotherapy [Mammary Fat Pad RNA-seq]	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
17	PRJEB38258	24	0	0	150	WGS	Illumina NovaSeq 6000	False		The long-term impact of distal feeding on patients with stoma	not Illumina amplicon (WGS; Illumina NovaSeq 6000); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
17	PRJEB55331	20	0	0	150	RNA-Seq	Illumina NovaSeq 6000	False		RNA-Seq data of neuroblastoma classical cell lines	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
17	PRJNA1032163	20	0	0	150	WGS	Illumina NovaSeq 6000	False		Metagenomic analysis of fecal microbiota and its antibiotic resistom of postoperative pancreatic cancer patients	not Illumina amplicon (WGS; Illumina NovaSeq 6000); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
17	PRJNA1111471	25	0	0	151	RNA-Seq	Illumina NovaSeq 6000	False		Extracellular Matrix Plays a Crucial Role in Postoperative Angiogenesis in Moyamoya Disease	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA497455	48	0	0	50	RNA-Seq	Illumina HiSeq 4000	False		Transcriptomics analysis of enteroendocrine cells after vertical sleeve gastrectomy	not Illumina amplicon (RNA-Seq; Illumina HiSeq 4000); reads ~50bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA497456	55	0	0	50	RNA-Seq	Illumina HiSeq 4000	True		Transcriptomics analysis of enteroendocrine cells following vertical sleeve gastrectomy	not Illumina amplicon (RNA-Seq; Illumina HiSeq 4000); reads ~50bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA1095460	106	0	0	52	RNA-Seq	Illumina NovaSeq 6000/NextSeq 500	False		Sleeve Gastrectomy Reveals the Plasticity of the Human Gastric Epithelium	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000/NextSeq 500); reads ~52bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB59861	154	77	1.0	73	WGS	NextSeq 500	False	12m	Microbiota alterations after gastric bypass versus sleeve gastrectomy in patients with type 2 diabetes (Oseberg)	not Illumina amplicon (WGS; NextSeq 500); reads ~73bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB42057	52	0	0	115	WGS	Illumina MiSeq	False		Gut Microbiota and Mycobiota Evolution is linked to Short-Term and Working Memory improvement after-Bariatric Surgery of Obese Patients	not Illumina amplicon (WGS; Illumina MiSeq); reads ~115bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA1248464	40	0	0	101	RNA-Seq	Illumina NovaSeq 6000	False		Comprehensive analysis of gene expression in visceral fat of morbidly obese patients undergoing bariatric surgery [Human]	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); reads ~101bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA523368	60	0	0	50	RNA-Seq	Illumina HiSeq 4000	True		Bariatric surgery mediated weight loss reduces breast cancer risk by reducing estrogen receptor alpha activity	not Illumina amplicon (RNA-Seq; Illumina HiSeq 4000); reads ~50bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA548961	301	0	0	125	RNA-Seq	Illumina HiSeq 2500	False		transcriptional analysis of bulk monocytes isolated from patients post-bariatric surgery undergoing a standardized liquid mixed-meal test intended to provoque postprandial hypoglycemia, upon treatment with either placebo, anakinra or empagliflozin	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2500); reads ~125bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB61154	56	0	0	76	RNA-Seq	Illumina NovaSeq 6000	False		RNA-seq of ileal resection margins of ulcerative colitis patients that had total colectomy and ileal pouch anal anastomosis	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); reads ~76bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA1475036	120	0	0	148	WGS	Illumina NovaSeq 6000	False		Comparison of the Effects of Stent-based Diversion Technique versus Prophylactic Double-lumen Ileostomy on Intestinal Flora in Postoperative Patients with Rectal Cancer	not Illumina amplicon (WGS; Illumina NovaSeq 6000); reads ~148bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJDB36225	88	0	0	94	RNA-Seq/WGA	HiSeq X Ten/Illumina HiSeq 2500/Illumina	False		The Mechanism Study of Intermittent Fasting in Glioblastoma Suppression via Gut Microbiota-mediated m6A Modification (PRJCA024947)	not Illumina amplicon (RNA-Seq/WGA; HiSeq X Ten/Illumina HiSeq 2500/Illumina NovaSeq 6000); reads ~94bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB10807	198	0	0	22	WGS	Illumina HiSeq 2500	False		CRISPR_Screening_in_Glioblastoma	not Illumina amplicon (WGS; Illumina HiSeq 2500); reads ~22bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB110464	49	0	0	75	RNA-Seq	Illumina NovaSeq X	False		RNA-Seq of human bronchial cells (BEAS-2B) treated with 4-40 µg/mL Cu by CuO NP and ionic Cu, and human hepatoblastoma cells (HepG2) treated with 4-40 µg/mL ionic Cu compared to untreated controls	not Illumina amplicon (RNA-Seq; Illumina NovaSeq X); reads ~75bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB11805	68	0	0	100	WXS	Illumina HiSeq 2000	False		WES sequencing of 34 hepatoblastoma tumors and controls	not Illumina amplicon (WXS; Illumina HiSeq 2000); reads ~100bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB20874	72	0	0	51	RNA-Seq	Illumina HiSeq 2500	False		Amplification of N-Myc is associated with a T-cell-poor microenvironment in metastatic neuroblastoma restraining interferon pathway activity and chemokine expression	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2500); reads ~51bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB25334	144	0	0	75	ssRNA-seq	NextSeq 500	False		RNA-seq of IMR-5/75 neuroblastoma cell line upon TBX2 and/or MYCN knockdown	not Illumina amplicon (ssRNA-seq; NextSeq 500); reads ~75bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB25363	66	0	0	39	ChIP-Seq	Illumina HiSeq 2000/NextSeq 500	False		ChIP-seq of neuroblastoma IMR-32, CLB-GA, NGP, IMR-5/75, GI-M-EN, CHP-212, and IMR-5 cell lines to identify TBX2, MYCN, H3K27ac, H3K4me1 and H3K4me3 binding sites	not Illumina amplicon (ChIP-Seq; Illumina HiSeq 2000/NextSeq 500); reads ~39bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB27831	64	0	0	75	ssRNA-seq	NextSeq 500	False		RNA-seq of IMR-5/75 neuroblastoma cell line treated with JQ1, THZ1 or combination against untreated controls	not Illumina amplicon (ssRNA-seq; NextSeq 500); reads ~75bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB36495	50	0	0	74	RNA-Seq	NextSeq 500	False		RNAseq of Human Glioblastoma with samples from core, rim and invasive (isolated based on 5ALA) tumour areas	not Illumina amplicon (RNA-Seq; NextSeq 500); reads ~74bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB38380	56	0	0	51	Bisulfite-Seq	NextSeq 550	False		RRBS methylome data from Glioblastoma samples	not Illumina amplicon (Bisulfite-Seq; NextSeq 550); reads ~51bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB38901	48	0	0	51	RNA-Seq	Illumina HiSeq 2500	False		Transcritpional response of human neuroblastoma cells treated with EHMT and EZH2 inhibitors	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2500); reads ~51bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB40483	60	0	0	75	RNA-Seq	Illumina NovaSeq 6000	False		RNA-seq of human neuroblastoma cell lines treated with ALKAL2 and/or lorlatinib	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); reads ~75bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB41516	91	0	0	69	RNA-Seq	NextSeq 500	False		Tumor to normal single cell mRNA comparisons reveal a pan-neuroblastoma cancer cell	not Illumina amplicon (RNA-Seq; NextSeq 500); reads ~69bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB42679	48	0	0	51	RNA-Seq	Illumina HiSeq 2500	False		IFN-gamma response of eight neuroblastoma cell lines treated with or without EHMT inhibitor	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2500); reads ~51bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB45762	52	0	0	101	ssRNA-seq	Illumina HiSeq 4000	False		RNA-seq of stomach and pyloric caeca from Atlantic salmon (Salmo salar) fed diets containing chitin from shrimp and black soldier fly larvae	not Illumina amplicon (ssRNA-seq; Illumina HiSeq 4000); reads ~101bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB45940	62	0	0	30	RNA-Seq/WXS	Illumina NovaSeq 6000	False		Lineage tracing of patient-derived U3065MG glioblastoma cells to reconstruct plasticity	not Illumina amplicon (RNA-Seq/WXS; Illumina NovaSeq 6000); reads ~30bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB47002	384	0	0	76	RNA-Seq	NextSeq 500	False		Culture media-induced transcriptional variation in lung cancer (A549), colorectal cancer (HCT116), ovarium cancer (SKOV3) and glioblastoma (U87MG) spheroids	not Illumina amplicon (RNA-Seq; NextSeq 500); reads ~76bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB53945	291	0	0	112	AMPLICON	Ion Torrent Proton	False		Mutations of 1p genes do not consistently abrogate tumor suppressor functions in 1p-intact neuroblastoma	not Illumina amplicon (AMPLICON; Ion Torrent Proton); reads ~112bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB54865	192	0	0	51	WGS	Illumina HiSeq 2500	False		Single-cell whole-genome sequencing of primary human medulloblastoma cells	not Illumina amplicon (WGS; Illumina HiSeq 2500); reads ~51bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB55773	64	20	1.1	29	RNA-Seq/snRNA-seq	Illumina HiSeq 3000/Illumina NovaSeq 600	True	baseline	Role of radiation-induced circulating myeloid-derived suppressor cells on systemic lymphopenia after chemoradiotherapy for glioblastoma	not Illumina amplicon (RNA-Seq/snRNA-seq; Illumina HiSeq 3000/Illumina NovaSeq 6000); reads ~29bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB59513	45	0	0	75	RNA-Seq	Illumina NovaSeq 6000	False		RNA-seq of various organs of Potentilla indica and Melastoma dodencadrum Lour.	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); reads ~75bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB60341	96	0	0	76	OTHER	NextSeq 500	False		3'mRNA-Seq of drug-tolerant medulloblastoma cell lines.	not Illumina amplicon (OTHER; NextSeq 500); reads ~76bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB72844	95	0	0	50	WXS	Illumina NovaSeq 6000	False		DERMfur__Feline_trichoblastoma_and_trichoepithelioma_WES	not Illumina amplicon (WXS; Illumina NovaSeq 6000); reads ~50bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB75644	238	0	0	53	WXS	Illumina NovaSeq 6000	False		DERMfur__Canine_trichoblastoma_and_trichoepithelioma_WES	not Illumina amplicon (WXS; Illumina NovaSeq 6000); reads ~53bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB77072	56	0	0	30	OTHER	Illumina NovaSeq 6000	False		SOX10 controls glioblastoma cell state plasticity and progression	not Illumina amplicon (OTHER; Illumina NovaSeq 6000); reads ~30bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB81816	120	0	0	76	RNA-Seq	Illumina NovaSeq X	False		Synthetic super-enhancers capture glioblastoma stem cells identity	not Illumina amplicon (RNA-Seq; Illumina NovaSeq X); reads ~76bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB85939	72	0	0	100	RNA-Seq	Illumina NovaSeq X	False		RNA-seq of four glioblastoma (GBM) cell lines treated with irradiation, PARP7i, diABZI alone or in combination with irradiation	not Illumina amplicon (RNA-Seq; Illumina NovaSeq X); reads ~100bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB88123	84	0	0	76	RNA-Seq	Illumina NovaSeq 6000	False		RNA-Seq analysis of subcutaneous patient-derived neuroblastoma xenografts (LU-NB-3R): Comparison of BAY390, A967079, and vehicle controls	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); reads ~76bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB48996	49	0	0	49	RNA-Seq	Illumina HiSeq 2500	False		Metatranscriptome analysis of fecal microbiota transplantation in chronic antibiotic resistant pouchitis	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2500); reads ~49bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA1496338	42	0	0	55	ATAC-seq/ChIP-Seq/RNA-Seq	Illumina NovaSeq 6000	False		Epigenetic Reprogramming Alters Human Intestinal Stem Cell Fate in Pouchitis	not Illumina amplicon (ATAC-seq/ChIP-Seq/RNA-Seq; Illumina NovaSeq 6000); reads ~55bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA524170	234	0	0	149	WGS	NextSeq 500	False		Resistant microbiome underlies antibiotic therapy in pouchitis	not Illumina amplicon (WGS; NextSeq 500); reads ~149bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA321131	77	0	0	64	RNA-Seq	Illumina HiSeq 2500	False		Ileal pouch transcriptomics reveal shared pathogenesis between pouchitis and ulcerative colitis	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2500); reads ~64bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB103004	87	0	0	50	RNA-Seq	BGISEQ-500	False		Transcriptional Subtypes on Immune Microenvironment and Predicting Postoperative Recurrence and Metastasis in Pheochromocytoma and Paraganglioma	not Illumina amplicon (RNA-Seq; BGISEQ-500); reads ~50bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJEB46412	118	0	0	125	ssRNA-seq	Illumina MiSeq	False		The effects of postoperative antibiotics in endoscopic sinus surgery	not Illumina amplicon (ssRNA-seq; Illumina MiSeq); reads ~125bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA1290281	219	0	0	138	Targeted-Capture	Illumina NovaSeq 6000	False		Postoperative Lymph ctDNA for Detection of Recurrence in HPV-negative Head and Neck Cancer	not Illumina amplicon (Targeted-Capture; Illumina NovaSeq 6000); reads ~138bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA509364	48	0	0	26	miRNA-Seq	NextSeq 500	False		Predicting Postoperative Liver Dysfunction Based on Blood Derived MicroRNA Signatures	not Illumina amplicon (miRNA-Seq; NextSeq 500); reads ~26bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA891321	192	0	0	100	Bisulfite-Seq	Illumina HiSeq 4000	False		Longitudinal Profiling in Patients Undergoing Cardiac Surgery Reveals Postoperative Changes in DNA Methylation	not Illumina amplicon (Bisulfite-Seq; Illumina HiSeq 4000); reads ~100bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA1422650	72	0	0	0	RNA-Seq	Illumina NovaSeq 6000	False		Lipotoxic fingerprints in clinically relevant postoperative pancreatic fistula	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
15	PRJNA859845	57	0	0	100	RNA-Seq	Illumina NovaSeq 6000	False		EXCESSIVE INFLAMMATION DRIVES POSTOPERATIVE LIVER FAILURE IN HUMANS - mRNA datasets	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); reads ~100bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJNA1290010	15	0	0	1500	AMPLICON	PacBio RS II	False		Impact of single-anastomosis duodenal-ileal bypass with sleeve gastrectomy and sleeve gastrectomy on gut microbiota composition and host metabolism	not Illumina amplicon (AMPLICON; PacBio RS II); only 15 runs; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJNA680313	22	0	0	140	ncRNA-Seq	Illumina HiSeq 4000	False		Next generation sequencing of circular and lnc RNAs in diabetes mellitus rats after sleeve gastrectomy	not Illumina amplicon (ncRNA-Seq; Illumina HiSeq 4000); reads ~140bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB66208	24	0	0	49	RNA-Seq	Illumina NovaSeq 6000	True		MYDIASECRET: RNA-Seq of human skeletal muscle biopsies before and after bariatric surgery	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); reads ~49bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJNA1392439	32	0	0	125	RNA-Seq	Illumina HiSeq 2500	False		Bariatric surgery reverses ORG and exhibits a distinct transcriptomic profiel compared to weight loss through a low-fat diet	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2500); reads ~125bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJDB11702	35	0	0	75	RNA-Seq	DNBSEQ-G400	False		Comparative analysis of arbuscular mycorrhizal roots of Lotus japonicus, Daucus carota, and Eustoma grandiflorum	not Illumina amplicon (RNA-Seq; DNBSEQ-G400); reads ~75bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJDB15933	20	0	0	118	RNA-Seq	NextSeq 500	False		"Exploring Neuroblastoma Cell Lines Using Short and Long-Read Sequencing following OCT4 Binding Inhibition at MYCN Locus"	not Illumina amplicon (RNA-Seq; NextSeq 500); reads ~118bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJDB7927	24	8	1.2	103	ChIP-Seq/RNA-Seq	Illumina HiSeq 2000/Illumina MiSeq	False	t98	Aberrant active cis-regulatory elements associated with downregulation of RET finger protein overcome chemoresistance in glioblastoma	not Illumina amplicon (ChIP-Seq/RNA-Seq; Illumina HiSeq 2000/Illumina MiSeq); reads ~103bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB2107	20	0	0	144	WGS	454 GS FLX Titanium/Illumina Genome Anal	False		The genome sequence of the cestode flatworm Hymenolepis microstoma	not Illumina amplicon (WGS; 454 GS FLX Titanium/Illumina Genome Analyzer II/Illumina HiSeq 2000/Sequel); reads ~144bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB24136	30	0	0	89	RNA-Seq	Illumina HiSeq 2500	False		Tropomyosin isoforms regulate distinct cellular pathways in undifferentiated and differentiated B35 neuroblastoma cells	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2500); reads ~89bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB25184	21	0	0	125	RNA-Seq	Illumina HiSeq 2000	False		RNA seq data of human Neuroblastoma IMR-5/75 cell line grown under different medium conditions.	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2000); reads ~125bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB25333	36	0	0	75	ssRNA-seq	NextSeq 500	False		RNA-seq of CLB-GA neuroblastoma cell line upon TBX2 knockdown	not Illumina amplicon (ssRNA-seq; NextSeq 500); reads ~75bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB27647	26	0	0	0	WGS	MinION	False		New tools for diet analyses: nanopore sequencing of metagenomic DNA from stomach contents to quantify diet in an invasive population of rats	not Illumina amplicon (WGS; MinION); no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB27945	20	0	0	51	RNA-Seq	Illumina HiSeq 2500	False		RNA-seq analysis of PROX1 overexpression and knockdown in glioblastoma cell lines	not Illumina amplicon (RNA-Seq; Illumina HiSeq 2500); reads ~51bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB30789	36	0	0	51	RNA-Seq	Illumina NovaSeq 6000	False		RNA-seq of human glioblastoma cell lines with overexpression of SOX2, SFRP2	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); reads ~51bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB32499	25	0	0	76	WGS	HiSeq X Ten	False		Mutational_signatures_in_carcinogen_induced_mouse_stomach_tumours	not Illumina amplicon (WGS; HiSeq X Ten); reads ~76bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB39240	32	0	0	75	RNA-Seq	NextSeq 500	False		RNA-seq of CLB-GA neuroblastoma cell line treated with Celastrol against DMSO treated controls	not Illumina amplicon (RNA-Seq; NextSeq 500); reads ~75bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB39368	24	0	0	76	ssRNA-seq	NextSeq 500	False		RNA-seq of human SH-EP neuroblastoma cell line with SOX11 overexpression as compared to control	not Illumina amplicon (ssRNA-seq; NextSeq 500); reads ~76bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB39371	32	0	0	76	ssRNA-seq	NextSeq 500	False		RNA-seq of human IMR-32 neuroblastoma cell line with SOX11 knockdown as compared to control	not Illumina amplicon (ssRNA-seq; NextSeq 500); reads ~76bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB40669	27	0	0	54	RNA-Seq/WXS	Illumina HiSeq 4000/NextSeq 500	False		WES and RNAseq of neuroblastoma cell lines.	not Illumina amplicon (RNA-Seq/WXS; Illumina HiSeq 4000/NextSeq 500); reads ~54bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB40670	30	0	0	54	RNA-Seq/WXS	Illumina HiSeq 4000/Illumina NovaSeq 600	False		WES and mRNAseq of neuroblastoma cell lines.	not Illumina amplicon (RNA-Seq/WXS; Illumina HiSeq 4000/Illumina NovaSeq 6000/NextSeq 500); reads ~54bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB42048	35	0	0	74	OTHER/RNA-Seq	Illumina HiSeq 4000	False		Riboseq and Quantseq of neuroblastoma cell line SH-SY5Y expressing MAPT-AS1 constructs	not Illumina amplicon (OTHER/RNA-Seq; Illumina HiSeq 4000); reads ~74bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB45718	24	0	0	38	RNA-Seq	Illumina MiSeq	False		Metabolic symbiosis in glioblastoma rely on lactate dehydrogenase expression and activity	not Illumina amplicon (RNA-Seq; Illumina MiSeq); reads ~38bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
10	PRJEB48798	31	0	0	75	RNA-Seq	Illumina NovaSeq 6000	False		H. pylori-infected stomach in asymptomatic individuals	not Illumina amplicon (RNA-Seq; Illumina NovaSeq 6000); reads ~75bp, too short for truncLen 150; no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
